Hazard,Sub-types,Overarching type,Related to (overarching only),Hazard Alias,Hazard definition,Source of definition,Associated indices,Commentary,,
Fluvial flooding ,Snowmelt flooding,,,,"A snowmelt flood is a significant flood rise in a river caused by the melting of snowpack accumulated during the winter. In upland and high-latitude areas where extensive snow accumulates over winter, the spring thaw produces meltwater runoff. If temperature rises are rapid, the rate of melting may produce floods, which can extend to lower parts of the river systems. The severity of meltwater floods will increase if the thaw is accompanied by heavy rainfall and can be further exacerbated if the subsoil remains frozen. Although a seasonal occurrence where major snowfields exist in headwaters, which may produce beneficial flooding in downstream areas, severe effects can occur on smaller scales, especially in areas subject to changes between cold and warmer rainy winter weather.",https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0011,"River discharge, River Flood (likelihood of current 10-year event), River Flood (2-year return period), River Flood (5-year return period), River Flood (10-year return period), River runoff + Snowfall Amount, Rainfall,  Mean Temperature, Maximum Temperature",Compound event of high accumulated snowfall and rainfall + high maximum temperature or high average temperature. Always also depends on fluvial indices.,,
Fluvial flooding ,Ice-jam flooding,,,,"An ice jam flood is caused by an accumulation of ice in a river, stream or other flooding source that reduces the cross-sectional area available to carry the flow and forces an increase in water-surface elevation",https://www.fema.gov/sites/default/files/2020-02/Ice_Jam_Guidance_Feb_2018.pdf,"River discharge, River Flood (likelihood of current 10-year event), River Flood (2-year return period), River Flood (5-year return period), River Flood (10-year return period)","In general, use fluvial flooding indices. Ice-flow requires downstream application of hydraulic modelling using river discharge and river ice dynamics data",,
Surface water flooding,,,,Pluvial flooding,"Pluvial (also known as surface water) flooding is caused when the volume of rainwater falling does not drain away through the existing drainage systems or soak into the ground but lies on or flows over the ground instead. This type of flooding is usually short-lived and associated with heavy downpours of rain, thunderstorms, etc. This often occurs in urban areas due to artificial impermeable surfaces, e.g. concrete, roads, and paths, and can worsen when drains become blocked.",https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0012,"Soil moisture, Days over field capacity, record-breaking weather (wettest month), Maximum Consecutive Five-Day Precipitation, Extreme precipitation, Extreme precipitation days, Rx1day, Rx5day, SDII, R10mm, R20mm, Rnnmm, CWD, R95p, R95pTOT, R99p, R99pTOT, PRCPTOT",,,
Groundwater flooding,,,,,Groundwater flooding occurs when the water table in permeable rocks rises to enter basements/cellars or comes up above the ground surface. Groundwater flooding is not necessarily linked directly to a specific rainfall event and is generally of longer duration than other causes of flooding (possibly lasting for weeks or even months).,https://www2.bgs.ac.uk/groundwater/flooding/groundwaterHomesFAQ.html,"Record-breaking weather (wettest month), Maximum Consecutive Five-Day Precipitation, Extreme Precipitation Total, Extreme Precipitation Days, Rnnmm, Rx1day, Rx5day, SDII, R95p, R99p",Can trigger prolonged or extreme rainfall; mostly depends on the aquifer properties,,
Coastal inundation ,,,,Coastal flooding,Coastal Flooding is when water inundates or covers normally dry coastal land as a result of high or rising tides or storm surges.,https://www.fema.gov/sites/default/files/documents/fema_coastal-glossary.pdf,Extreme sea level,,,
Coastal inundation ,High tide flooding,,,,"High tide flooding is the overflow or excess accumulation of water that covers typically dry coastal land and occurs during high tides (especially, perigean). As relative sea levels rise, high tide flooding is occurring more frequently, even on sunny days. By definition, a coastal storm is not necessary for high-tide flooding to occur. However, even relatively weak onshore winds can increase the level of flooding. High tide flooding creates short-term impacts like road closures, overflowing storm drains, and temporary business closures. Over the long term, recurrent high tide flooding causes more severe impacts, like damage to below-ground infrastructure and degraded wetlands.",https://tidesandcurrents.noaa.gov/high-tide-flooding/ + https://coast.noaa.gov/stormwater-floods/understand/,Extreme sea level,,,
Coastal inundation ,Storm surge,,,,"Storm surge is the abnormal rise in seawater level during a storm, measured as the height of the water above the normal predicted astronomical tide. The surge is caused primarily by a storm’s winds pushing water onshore. The amplitude of the storm surge at any given location depends on the orientation of the coast line with the storm track; the intensity, size, and speed of the storm; and the local bathymetry.",https://oceanservice.noaa.gov/facts/stormsurge-stormtide.html,Extreme sea level,,,
Coastal inundation ,Estuarine flooding,,,,"Estuaries are inlet areas of the coastline where the coastal tide meets a concentrated seaward flow of fresh water in a river. The interaction between the seaward flow of river water and landward flow of saline water during high tides may cause a build-up of water or inland-moving tidal bore. Frequently, the funnel shape characteristic of many estuaries causes an increase in high water levels in the upper, narrowing reaches of the associated river. These types of flood are mostly experienced in deltaic areas of rivers along the coasts, for example the mouths of the Ganges. They are more frequent and less severe in terms of inundated depth and area than flooding caused by storm surges",https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0005,Extreme sea level,,,
Coastal inundation ,,Flash flooding,"Fluvial, pluvial, coastal flooding",,"A flash flood is a flood of short duration with a relatively high peak discharge in which the time interval between the observable causative event and the flood is less than four to six hours. A flash flood is generally characterised by raging torrents after heavy rains, a dam or levee failure or a sudden release of water in a previously stopped passage (i.e., by debris or ice) that rips through riverbeds, urban streets, or mountain canyons sweeping away everything in its path. Steep terrain tends to concentrate runoff into streams very quickly and is often a contributory factor. Changes in soil properties (e.g., burn areas from wildfires), hydrophobic or impervious soils, removal of surface vegetation, and excess runoff from warm rainfall on significant snowpack can also be important contributors.",https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0006,,Everything related to flooding can be put as associated. Flash flooding should not have direct links to indices!,,
Sea level rise,,,,,"Change to the height of sea level, both globally and locally (relative sea level change) at seasonal, annual, or longer time scales due to (1) a change in ocean volume as a result of a change in the mass of water in the ocean (e.g., due to melt of glaciers and ice sheets), (2) changes in ocean volume as a result of changes in ocean water density (e.g., expansion under warmer conditions), (3) changes in the shape of the ocean basins and changes in the Earth’s gravitational and rotational fields, and (4) local subsidence or uplift of the land. Global mean sea level change resulting from change in the mass of the ocean is called barystatic. The amount of barystatic sea level change due to the addition or removal of a mass of water is called its sea level equivalent (SLE). Sea level changes, both globally and locally, resulting from changes in water density are called steric. Density changes induced by temperature changes only are called thermosteric, while density changes induced by salinity changes are called halosteric. Barystatic and steric sea level changes do not include the effect of changes in the shape of ocean basins induced by the change in the ocean mass and its distribution.",https://www.ipcc.ch/srocc/chapter/glossary/,Relative sea level rise,,,
