Name,Units,Definition,Source,Associated variable,Commentary,Link to CLIMDEX,CLIMDEX relation,Linked indicators,Linked indicator relation,Sector,,Source,Link to source
Tiger Mosquito Climatic Suitability,dimensionless,"The Climatic Suitability index of Tiger mosquito (Aedes albopictus) presence (Dimensionless, from 0 to 100). The Tiger Mosquito Climatic Suitability index is relevant to human health. The tiger mosquito is an invasive species from south-east Asia favoured by a warmer climate and represents a serious threat as it transmits vector-borne diseases such as dengue and chikungunya. Environmental factors, among which weather conditions, affect both the potential presence and seasonal activity of the tiger mosquito. The Tiger mosquito's climatic suitability is determined by summer temperatures, January temperatures and annual rainfall. The suitability is null for summer temperatures lower than 15°C or higher than 30°C, with a maximum between 20°C and 25°C. It is null for January temperatures lower than - 1°C and annual rainfall lower than 450 mm, and maximal for January temperatures above 3°C and annual rainfall above 800 mm.",Climate ADAPT,"tas, tasmax, tasmin, pr",,,,,,Human health,,,
Tiger Mosquito Climatic Season Length,days (abs and change),The season length of the climatic suitability of tiger mosquito presence (Days). The Tiger mosquito's climatic suitability seasonal presence is determined by temperature thresholds and hours of sunlight (photoperiod) during spring (when egg hatching occurs) and autumn (a period of suspended development or diapause). In spring the temperature should be above 10.5°C and the photoperiod above 11.25 hours and in autumn the temperature should be below 9.5°C and the photoperiod below 13.5 hours. The latter is conditioned by the ability of the mosquito to survive the winter combined with a threshold on annual rainfall. Survival conditions are considered as unsuitable for January temperatures below 0°C and annual rainfall below 500 mm.,Climate ADAPT,"tas, tasmax, tasmin, pr",,,,,,Human health,,,
Consecutive Summer Days (CSD),days,Let TX_ij be the daily maximum temperature at day i of period j. Then counted is the largest number of consecutive days where daily maximum temperature exceeds 25 degrees Celsius (TX_ij > 25).,Copernicus CCS,tasmax,,SU,relatedTo,,,"Human health, disaster risk reduction",,,
Consecutive Frost Days (CFD),days,Let TX_ij be the daily maximum temperature at day i of period j. Then counted is the largest number of consecutive days where daily maximum temperature is less than 0 degrees Celsius (TX_ij < 0).,Copernicus CCS,tasmax,,FD,relatedTo,,,"Human health, disaster risk reduction, agriculture and food security, forestry/GHG, transport and energy",,,
Potential Evapotranspiration (PET: Penman-Monteith),mm/day,"PET is an index which gives the FAO-endorsed potential evapotranspiration as calculated by the Penman-Monteith parametrization. Here reference crop evapotranspiration is a measure for potential evapotranspiration. Reference crop evaporation is defined as the rate of evaporation from an idealized grass reference crop with a fixed crop height of 0.12 m, an albedo of 0.23, and a surface resistance of 70 s m−1 . In terms of of its evaporation rate, such a crop closely resembles the reference crop of an extensive surface of short green grass cover of uniform height, actively growing, completely shading the ground, and not short of water.",Copernicus CCS,"tas, hurs, psl, rss, rls, sfcWind",,,,,,"Agriculture and food security, water resources, forestry/GHG",,,
Potential Evapotranspiration (PET: Makkink),mm/day,This formulation of Reference Evapotranspiration is a simplification of the more comprehensive Penman-Monteith parameterization and recognizes that evapotranspiration is determined primarily by the radiation and the ambient air temperature. A further simplification is that Global Radiation is used rather than the net radiation which is used in more comprehensive formulas.,Copernicus CCS,"tas, rsd, psl",,,,,,"Agriculture and food security, water resources, forestry/GHG",,,
Self-calibrating Palmer Drought Severity Index (scPDSI),dimensionless,"The Palmer Drought Severity Index (PDSI) is a measure of regional moisture availability that has been used extensively to study droughts and wet spells in the contiguous USA. The computation of the index involves a classification of relative moisture conditions within 11 categories as defined by Palmer (1965), ranging from extremely dry with PDSI, to extremely wet with PDSI values. The index is based on water supply and demand which is calculated using a water-budget system based on historic records of precipitation and temperature and the soil characteristics of the site being considered. 
The scPDSI as put forward by Wells et al. (2004) is more appropriate for geographical comparison of climates of diverse regions. Wells et al. (2004) improve the performance of the PDSI by automating the calculations Palmer made when he derived the empirical constants used in the PDSI algorithm.",Copernicus CCS,"tas, pr",,,,,,"Agriculture and food security, disaster risk reduction, water resources",,,
Huglin Index,dimensionless,"The Huglin Index is an index specifically aimed at grap growth and defined using daily averaged temperature TG_i and the daily maximum temperature TX_i for day i in the period 1 April to 30 September: K/2 * SUM((TG_i - 10) + (TX_i - 10)), where K is a daylength coefficient. The daylight coefficient is a function of the latitude of the station but a clear definition is absent. The value of K is 1 (<= 40°N) or 1.02 (40-42°N), increasing at increment of 0.01 for each 2 degrees of latitude until 50°N and reaching 1.06.",Copernicus CCS,"tas, tasmax",,,,,,Agriculture and food security,,,
altCSDI,days,"Similar to CSDI. For CSDI, the spells cannot span years, while for altCSDI the spells can span years.",ETCCDI,tasmin,,CSDI,relatedTo,,,"Health, Agriculture and Food Security, Transport, Energy, Forestry/GHG, Disaster Risk Reduction, Fisheries, Cryosphere",,,
altWSDI,days,"Similar to WSDI. For WSDI, the spells cannot span years, while for altWSDI the spells can span years.",ETCCDI,tasmax,,WSDI,relatedTo,,,"Health, Water resources, Agriculture and Food Security, Transport, Energy, Forestry/GHG, Disaster Risk Reduction, Fisheries, Cryosphere, Coasts",,,
altCDD,days/year,"Similar to CDD. For CDD, the spells can span years, while for altCDD the spells cannot span years.",ETCCDI,pr,,CDD,relatedTo,,,"Health, Agriculture and Food Security, Water Resources, Forestry/GHG, Disaster Risk Reduction",,,
altCWD,days/year,"Similar to CWD. For CWD, the spells can span years, while for altCWD the spells cannot span years.",ETCCDI,pr,,CWD,relatedTo,,,Coasts,,,
