Tasks,Subtasks,Parent Task,Task description,Associated entities,Range,Backward dependency,Forward dependency,Conflict,Input,Output,Type of info,Condition,Comment,Role,In DSS?,FF comments,Colour code,
,Choose future period,Prepare climate information,"The task of choosing the future time horizons of interest (e.g., specific period in the future like 2080–2100, 2030–2080) for climate information or risk or impact assessment.",Date,Yes,,Define emission scenarios,Choose global warming level,,Time range (custom selected),Conditional,Obligatory if GWL is not selected,,Case solver,YES,,,
,Choose global warming level,Prepare climate information,"The task of selecting specific global warming levels (e.g., +1.5°C, +2°C).",Global warming level,Optional,,Choose global warming level extraction method,Choose future period,,Selected GWL (specific value or range),Conditional,Obligatory if future period is not selected,,Case solver,YES,,,
,Choose global warming level extraction method,Prepare climate information,The task of choosing a method to extract regional climate change data in relation to selected global warming levels above pre-industrial (default: 1850-1900).,Method,No,Choose global warming level,"Filter climate simulations by global warming level exceedance
Apply pattern scaling",,Time range (optional),GWL extraction method,Conditional,"Obligatory if task ""Global warming level choice"" is selected",,Case solver,YES,"I would even just say ""regional climate data"". The signal is then determined in a later step",,
,Define emission scenarios,Prepare climate information,"The task of defining appropriate representative concentration pathways (RCPs) or shared socioeconomic
pathways (SSPs) to explore a range of future climate outcomes.",Emission scenario,Optional,,,,,Selected emission scenario,Conditional,Obligatory if future period choice is used,,Case solver,YES,"Keep it here. I think there's a movement towards GWLs although quite often people still want to retain the time dimension... That is, we may want to keep the time infomration alongside the GWL.",,
,Define relevant spatial resolutions,Prepare climate information,"The task of selecting the required spatial resolution (e.g., 1 km, 60 km, 0.25°) range for the output climate data.",Spatial resolution,Optional,,,,,Selected spatial resolution range,Obligatory,,,Case solver,YES,,,
,Define relevant temporal resolutions,Prepare climate information,"The task of selecting the required temporal resolution (e.g., daily, monthly, annual, seasonal) range for the output climate data.",Temporal resolution,Optional,,,,,Selected temporal resolution range,Obligatory,,,Case solver,YES,,,
,Define subannual selection,Prepare climate information,"The task of selecting a sub-annual period (e.g. month, season, period in year) of interest (e.g. boreal winter (DJFM), austral spring (SON), Januarys, Julys).",Sub-annual period,Optional,,,,,Subseasonal slice,Optional,"For possible values, see Table 1 of this document: https://docs.google.com/document/d/1svoQ4lW1i4nFaPWZEzIxQakPmS_sDS4uO9yy9OmeSQo/edit?tab=t.0",,Case solver,YES,,,
,Define observation type,Prepare climate information,"The task of defining the preferred observation type (e.g., station-based, gridded).",Observation type,No,,,,,Observation type,Obligatory,"CV would only be ""station-based"" and ""gridded"". ""station-based"" refers to observations collected at a specific geographic point, ""gridded"" refers to observations interpolated or modelled onto a regular grid of cells. I think it can be related to ""GeodeticPoint"" and ""RegularGrid"" respectively.",,Case solver,YES,,,
,Define preferred access point,Prepare climate information,"The task of choosing the preferred source for climate simulation data access (access point: e.g., ESGF datanodes, Copernicus CDS, OpenDAP, national portals).",Access point,No,,,,,Access point organisation or country of origin,Optional,,,Case solver,NO,,,
,Provide additional climate simulation selection criteria,Prepare climate information,"The task of providing additional constraints to the climate simulation selection like origin of source (e.g., institution, country of origin), etc. Provide information with URIs taken from the KG where possible.",Text,No,,,,,Additional selection criteria for climate simulations,Optional,,"free text to be possibly parsed and linked. In the description, added a request to provide URIs",Case solver,YES,,,
,Provide additional observation selection criteria,Prepare climate information,"The task of providing additional constraints to the observation selection, such as the origin of the source (e.g., institution, country of origin), etc. Provide information with URIs taken from the KG where possible.",Text,No,,,,,Additional selection criteria for observations,Optional,,"free text to be possibly parsed and linked. In the description, added a request to provide URIs",Case solver,YES,,,
,Filter climate simulations by selection criteria,Prepare climate information,The task of applying filtering criteria to the list of climate simulations and shortlisting matching entries.,,,"Identify indices and variables
Choose future period
Define emission scenarios
Define relevant spatial resolutions
Define relevant temporal resolutions
Provide additional climate simulation selection criteria",,,All relevant filtering dimensions,List of climate simulations,Optional,Obligatory if case solver decides not to manually select the climate simulations or use impact models instead,,Case solver,YES,,,
,Filter observations by selection criteria,Prepare climate information,The task of applying filtering criteria to the list of observations and shortlisting matching entries.,,,"Identify indices and variables
Choose baseline period
Define relevant spatial resolutions
Define relevant temporal resolutions
Define observation type
Define preferred access point
Provide additional observation selection criteria",,,All relevant filtering dimensions,List of observation datasets,Optional,Obligatory if case solver decides not to manually select the observations,,Case solver,YES,,,
,Conduct manual selection of climate simulations,Prepare climate information,The task of manually selecting the climate simulations,Climate simulations,No,Filter climate simulations by selection criteria,,,,List of climate simulations,Optional,,,Case solver,YES,,,
,Conduct manual selection of observations,Prepare climate information,The task of manually selecting the observations,Observation datasets,No,Filter observations by selection criteria,,,,List of observation datasets,Optional,,,Case solver,YES,,,
,Filter climate simulations by global warming level exceedance,Prepare climate information,The task of selecting simulations exceeding the specific global warming level.,,,"Choose global warming level
Choose global warming level extraction method",,Apply pattern scaling,"GWL range; GWL extraction method; if scenario-based, emission scenario definition",List of climate simulations (with associated global warming exceeding selected GWL),Conditional,"Obligatory if task ""Global warming level choice"" is selected and ""Global warming level extraction method"" is not ""Pattern scaling""","Simulations need to be retrieved at this stage to do this - but only GCMs, not RCMs",Case solver,YES,Agreed,,
,Extract global warming level time slice,Prepare climate information,The task of extracting the time slice centered around the point in time when the specific global warming level is exceeded.,Number,Yes,"Choose global warming level
Choose global warming level extraction method
Filter climate simulations by global warming level exceedance",,,List of climate simulations (with associated global warming exceeding selected GWL),Future period (associated with GWL exceedance),Conditional,"Obligatory if ""Global warming level extraction method"" is ""Time slice""",,Case solver,YES,"Change ""reached"" to ""exceeded""",,
,Apply pattern scaling,Prepare climate information,The task of conducting pattern scaling of regional climate response to the global warming level.,,,"Conduct manual selection of climate simulations
Filter climate simulations by selection criteria
Choose global warming level
Choose global warming level extraction method",,,GWL; Climate simulations; Observations,Pattern-scaled climate data,Conditional,"Obligatory if ""Global warming level extraction method"" is ""Pattern scaling""","Requires simulation (and observation, if used) retrieval",Case solver,YES,"Good question. Could we adopt the same as ""bias-corrected data"" and name it ""pattern-scaled climate data""",,
,Apply additional spatial downscaling,Prepare climate information,The task of applying statistical or dynamical downscaling techniques to increase the spatial resolution of global or regional climate model outputs. This task is normally unnecessary if the selected data is already downscaled.,Method,No,"Choose future period choice
Define subannual selection
Extract global warming level time slice
Conduct manual selection of climate simulations
Filter climate simulations by selection criteria
Filter climate simulations by global warming level exceedance",,,Climate simulations,Downscaled climate simulations,Optional,,"Requires simulation retrieval - I see an issue with I/O as ""Climate simulations"" are not defined before.",Case solver,YES,,,
,Apply data preprocessing,Prepare climate information,"The task of performing data preprocessing (e.g., regridding, gap-filling, aggregation, filtering, bias correction) on raw climate model output and observations to ensure it is accurate, consistent, and suitable for analysis.",Method,No,"Choose future period
Define subannual selection
Extract global warming level time slice
Define relevant spatial resolutions
Define relevant temporal resolution
Conduct manual selection of climate simulations
Conduct manual selection of observations
Filter climate simulations by selection criteria
Filter observations by selection criteria
Filter climate simulations by global warming level exceedance
Apply pattern scaling
Apply spatial downscaling",,,"Raw observations, raw or downscaled climate simulations, or pattern-scaled climate data","Processed climate data - processed observations, processed climate simulations",Optional,,"Requires simulation and observation retrieval (unless downscaled or pattern-scaled data are used).
Can apply no methods, but must be conducted to ensure consistency",Case solver,YES,"could we call it ""raw climate model output and observations"". Preprocessing includes regridding, averaging etc - is that linked",,
,Compute climate indices,Prepare climate information,"The task of computing relevant climate indices from both observational and climate model datasets. Possibly, emulators could be used to obtain relevant information for index computation.",,,"Identify indices and variables
Extract global warming level time slice
Choose future period
Define subannual selection
Conduct manual selection of climate simulations
Conduct manual selection of observations
Filter climate simulations by selection criteria
Filter observations by selection criteria
Filter climate simulations by global warming level exceedance
Apply pattern scaling
Apply spatial downscaling
Apply data preproccesing",,,"Processed climate data, selected index definitions",Calculated indices for observations and climate simulations,Optional,,,Case solver,YES,,,
,Conduct observation analysis,Prepare climate information,The task of analyzing observational datasets to establish historical trends and variability.,Method,No,"Conduct manual selection of observations
Filter observations by selection criteria
Apply data preproccesing",,,Processed observations,Observation analysis,Optional,,,Case solver,YES,,,
,Conduct spatial aggregation,Prepare climate information,The task of spatially aggregating calculated indices.,Method,No,Compute climate indices,,,Calculated indices,Aggregated indices,Optional,,,Case solver,YES,,,
,Evaluate climate simulations,Prepare climate information,"The task of evaluating the performance of climate simulations against observations, by comparing how well climate models reproduce historical climate conditions for selected indices or variables. This evaluation helps determine which models could be more reliable for projecting future climate changes.",Method,No,"Filter climate simulations by selection criteria
Conduct manual selection of climate simulations 
Apply pattern scaling
Apply spatial downscaling 
Filter observations by selection criteria
Conduct manual selection of observations
Apply data preproccesing
Compute climate indices
Conduct observation analysis
Conduct spatial aggregation",Select climate simulations,,"Calculated or aggregated indices, or processed climate data, or observation analysis",Model performance metric,Conditional,Obligatory unless case solver decides to only use impact models (like ISIMIP) without input data from climate simulations,We require case solver to add at least some type of quality evaluation metric - regardless it is used to make the final decision or not.,Case solver,YES,"Perhaps change ""more reliable"" to ""could be more reliable"".  Do we need to include ""variable"" or ""index"" in here?",,
,Select climate simulations,Prepare climate information,The task of rejecting the climate model simulations that do not meet the evaluation criteria or the ad hoc selection by the case solver.,Method,No,Evaluate climate simulations,,,Model performance metric,Processed climate simulation data (selection),Conditional,"Obligatory if ""Climate simulation evaluation"" is conducted",,Case solver,YES,Selection by rejection too,,
Analyse climate information,,,The task of analysing the climate information to understand what future climatic changes are simulated and associated uncertainties.,,,,,,,,Conditional,"If not pursued, climate impact assessment is obligatory",,Case solver,YES,"Change to ""The task of analysing the climate information to understand what future climatic changes are simulated and associated uncertainties""
",,
,Quantify future climate change,Analyse climate information,The task of analysing and projecting the future climate by creating an output metric based on the selected climate simulations.,Method,No,Select climate simulations,,,Processed climate simulation data (selection),Output metric,Obligatory,,,Case solver,YES,I agree with the red text. ,,
